Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,high_value_flag
346,CA-2018-169901,15/06/2018,19/06/2018,Standard Class,CC-12550,Clay Cheatham,Consumer,United States,San Francisco,California,94122.0,West,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,47.976,0
1708,CA-2018-123491,30/10/2018,5/11/2018,Standard Class,JK-15205,Jamie Kunitz,Consumer,United States,San Francisco,California,94122.0,West,TEC-PH-10003505,Technology,Phones,Geemarc AmpliPOWER60,148.48,0
2409,CA-2018-144589,20/01/2018,25/01/2018,Standard Class,TM-21010,Tamara Manning,Consumer,United States,San Francisco,California,94122.0,West,TEC-PH-10003072,Technology,Phones,Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,359.976,0
2755,CA-2016-155306,17/04/2016,21/04/2016,Standard Class,GA-14515,George Ashbrook,Consumer,United States,San Francisco,California,94122.0,West,TEC-PH-10002310,Technology,Phones,Plantronics Calisto P620-M USB Wireless Speakerphone System,783.96,0
4416,CA-2015-153983,29/11/2015,6/12/2015,Standard Class,AH-10210,Alan Hwang,Consumer,United States,San Francisco,California,94122.0,West,TEC-PH-10004586,Technology,Phones,Wilson SignalBoost 841262 DB PRO Amplifier Kit,575.92,0
7224,CA-2017-109953,14/07/2017,18/07/2017,Standard Class,RB-19360,Raymond Buch,Consumer,United States,San Francisco,California,94122.0,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,110.376,0
7507,CA-2015-115889,2/11/2015,6/11/2015,Standard Class,SH-20395,Shahid Hopkins,Consumer,United States,San Francisco,California,94122.0,West,TEC-PH-10001615,Technology,Phones,AT&T CL82213,46.384,0
8244,CA-2015-109897,12/8/2015,16/08/2015,Standard Class,BW-11200,Ben Wallace,Consumer,United States,San Francisco,California,94122.0,West,TEC-PH-10003691,Technology,Phones,BlackBerry Q10,806.336,0
9422,CA-2015-145254,23/07/2015,27/07/2015,Standard Class,NC-18535,Nick Crebassa,Corporate,United States,San Francisco,California,94122.0,West,TEC-PH-10000441,Technology,Phones,VTech DS6151,604.752,0
9424,CA-2015-145254,23/07/2015,27/07/2015,Standard Class,NC-18535,Nick Crebassa,Corporate,United States,San Francisco,California,94122.0,West,TEC-PH-10004531,Technology,Phones,AT&T CL2909,302.376,0
9460,CA-2015-138240,9/10/2015,14/10/2015,Standard Class,SJ-20500,Shirley Jackson,Consumer,United States,San Francisco,California,94122.0,West,TEC-PH-10002583,Technology,Phones,iOttie HLCRIO102 Car Mount,15.992,0
9681,CA-2016-130113,27/12/2016,31/12/2016,Standard Class,AH-10030,Aaron Hawkins,Corporate,United States,San Francisco,California,94122.0,West,TEC-PH-10003505,Technology,Phones,Geemarc AmpliPOWER60,668.16,0
206,CA-2018-108329,9/12/2018,14/12/2018,Standard Class,LE-16810,Laurel Elliston,Consumer,United States,Whittier,California,90604.0,West,TEC-PH-10001918,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone,444.768,0
597,CA-2015-131450,8/8/2015,15/08/2015,Standard Class,LR-16915,Lena Radford,Consumer,United States,San Diego,California,92024.0,West,TEC-PH-10002398,Technology,Phones,AT&T 1070 Corded Phone,445.96,0
1093,CA-2016-143490,6/12/2016,13/12/2016,Standard Class,NP-18325,Naresj Patel,Consumer,United States,San Diego,California,92105.0,West,TEC-PH-10000576,Technology,Phones,AT&T 1080 Corded phone,219.184,0
2822,CA-2017-100202,31/12/2017,5/1/2018,Standard Class,BD-11620,Brian DeCherney,Consumer,United States,Anaheim,California,92804.0,West,TEC-PH-10002563,Technology,Phones,Adtran 1202752G1,302.376,0
3166,CA-2015-153969,21/09/2015,25/09/2015,Standard Class,HF-14995,Herbert Flentye,Consumer,United States,San Francisco,California,94109.0,West,TEC-PH-10001299,Technology,Phones,Polycom CX300 Desktop Phone USB VoIP phone,239.984,0
3203,CA-2015-158372,10/11/2015,16/11/2015,Standard Class,RD-19900,Ruben Dartt,Consumer,United States,San Diego,California,92037.0,West,TEC-PH-10002103,Technology,Phones,Jabra SPEAK 410,601.536,0
